Year,Month,Anomaly,Unc,Temps
1897,11,-1.72,0.781,10.62
1897,12,-0.59,1.047,8.19
1898,1,-2.19,0.92,6.28
1898,2,0.04,0.773,10.76
1898,3,-1.23,0.598,10.64
1898,4,1.43,0.915,17.43
1898,5,-1.95,0.832,11.48
1898,6,0.4,0.92,18.81
1898,7,-0.38,1.816,19.41
1898,8,-0.29,1.283,19.46
1898,9,-1.18,0.467,18.31
1898,10,-0.58,0.362,16.1
1898,11,-0.75,0.764,11.59
1898,12,-1.19,0.601,7.59
1899,1,1.56,0.25,10.03
1899,2,-0.5,0.736,10.22
1899,3,-0.63,0.54,11.24
1899,4,0.37,1.014,16.37
1899,5,-1.98,0.563,11.45
1899,6,0.57,0.732,18.98
1899,7,-0.95,1.146,18.84
1899,8,-1.65,0.761,18.1
1899,9,-0.55,1.105,18.94
1899,10,-1.87,0.25,14.81
1899,11,0.46,0.366,12.8
1899,12,-0.78,0.788,8
1900,1,0.95,0.469,9.42
1900,2,0.28,0.584,11
1900,3,1.59,0.507,13.46
1900,4,-0.64,0.35,15.36
1900,5,0.58,0.576,14.01
1900,6,0.41,0.94,18.82
1900,7,0.24,0.813,20.03
1900,8,-0.61,0.936,19.14
1900,9,-0.95,1.074,18.54
1900,10,-1.3,0.28,15.38
1900,11,0.75,0.387,13.09
1900,12,0.01,0.908,8.79
1901,1,0.01,0.761,8.48
1901,2,-0.36,0.81,10.36
1901,3,0.88,0.475,12.75
1901,4,-1,0.323,15
1901,5,-0.84,0.59,12.59
1901,6,-0.07,0.619,18.34
1901,7,-0.52,0.774,19.27
1901,8,-0.29,0.934,19.46
1901,9,-1.91,0.67,17.58
1901,10,0.96,0.68,17.64
1901,11,1.13,0.748,13.47
1901,12,0.21,0.711,8.99
1902,1,-1.74,0.533,6.73
1902,2,0.41,0.649,11.13
1902,3,-1.22,0.299,10.65
1902,4,-0.42,0.264,15.58
1902,5,-0.97,0.736,12.46
1902,6,0.42,0.538,18.83
1902,7,0.22,0.631,20.01
1902,8,-0.05,0.902,19.7
1902,9,-0.12,0.528,19.37
1902,10,-0.99,0.545,15.69
1902,11,-1.3,0.49,11.04
1902,12,-0.36,0.528,8.42
1903,1,-0.88,0.612,7.59
1903,2,-3.21,0.584,7.51
1903,3,-0.9,0.474,10.97
1903,4,-0.84,0.501,15.16
1903,5,0.05,0.397,13.48
1903,6,0.7,0.442,19.11
1903,7,-1.23,0.798,18.56
1903,8,-0.63,0.331,19.12
1903,9,-0.58,0.477,18.91
1903,10,0.58,0.503,17.26
1903,11,0.27,0.553,12.61
1903,12,0.04,0.512,8.82
1904,1,-0.61,0.42,7.86
1904,2,-1.32,0.48,9.4
1904,3,-0.64,0.568,11.23
1904,4,0.22,0.317,16.22
1904,5,1.29,0.393,14.72
1904,6,0.79,0.459,19.2
1904,7,-0.92,0.514,18.87
1904,8,-0.8,0.702,18.95
1904,9,0.56,0.254,20.05
1904,10,-0.56,0.618,16.12
1904,11,0.23,0.555,12.57
1904,12,-0.52,0.747,8.26
1905,1,0.73,0.354,9.2
1905,2,0.13,0.617,10.85
1905,3,1.56,0.442,13.43
1905,4,0.74,0.465,16.74
1905,5,-1.39,0.697,12.04
1905,6,-1.16,0.601,17.25
1905,7,0.01,0.37,19.8
1905,8,-0.49,0.628,19.26
1905,9,-0.92,0.488,18.57
1905,10,-1.08,0.38,15.6
1905,11,-0.44,0.463,11.9
1905,12,-0.98,0.384,7.8
1906,1,0.63,0.324,9.1
1906,2,1.37,0.43,12.09
1906,3,-0.2,0.526,11.67
1906,4,0.43,0.441,16.43
1906,5,-0.98,0.669,12.45
1906,6,-0.47,1.009,17.94
1906,7,1.15,0.855,20.94
1906,8,-0.16,0.574,19.59
1906,9,-0.77,0.396,18.72
1906,10,0.15,0.499,16.83
1906,11,-0.66,0.525,11.68
1906,12,-0.05,0.727,8.73
1907,1,-0.93,0.854,7.54
1907,2,1.64,0.402,12.36
1907,3,-1.33,0.535,10.54
1907,4,1.1,0.561,17.1
1907,5,-0.4,0.32,13.03
1907,6,-1.12,0.51,17.29
1907,7,-0.85,0.482,18.94
1907,8,-0.84,0.376,18.91
1907,9,-1.96,0.799,17.53
1907,10,-0.25,0.478,16.43
1907,11,0.15,0.438,12.49
1907,12,0.72,0.347,9.5
1908,1,0.6,0.466,9.07
1908,2,-1.38,0.537,9.34
1908,3,0.12,0.557,11.99
1908,4,1.27,0.352,17.27
1908,5,-1.25,0.232,12.18
1908,6,-1.44,0.537,16.97
1908,7,0.6,0.66,20.39
1908,8,-0.68,0.747,19.07
1908,9,-0.81,0.594,18.68
1908,10,-1.93,0.551,14.75
1908,11,-0.37,0.376,11.97
1908,12,-2.28,0.779,6.5
1909,1,1.46,0.942,9.93
1909,2,-1.06,0.599,9.66
1909,3,-1.48,0.381,10.39
1909,4,1.06,0.313,17.06
1909,5,-0.93,0.231,12.5
1909,6,-0.57,0.381,17.84
1909,7,-0.57,0.927,19.22
1909,8,-0.69,0.633,19.06
1909,9,-0.44,0.364,19.05
1909,10,-1.16,0.341,15.52
1909,11,-0.6,0.47,11.74
1909,12,-1.21,0.637,7.57
1910,1,-1.88,0.566,6.59
1910,2,-1.67,0.543,9.05
1910,3,1.23,0.589,13.1
1910,4,1.55,0.558,17.55
1910,5,1.52,0.375,14.95
1910,6,-1.21,0.493,17.2
1910,7,-0.38,0.617,19.41
1910,8,-1.13,0.378,18.62
1910,9,-2.33,0.31,17.16
1910,10,-0.24,0.373,16.44
1910,11,-0.55,0.327,11.79
1910,12,0.66,0.42,9.44
1911,1,0.53,0.484,9
